爱情	àiqíng	love
安排	ānpái	arrange
安全	ānquán	security
按时	ànshí	on time
按照	ànzhào	according to
百分之 	bǎifēnzhī	percent
棒 	bàng	stick；excellent
包子	bāozi	steamed stuffed bun
保护	bǎohù	protect
保证	bǎozhèng	ensure
抱	bào	hold
抱歉	bàoqiàn	feel sorry
报名	bàomíng	sign up
倍	bèi	times
本来	běnlái	originally
笨	bèn	stupid
比如	bǐrú	such as
毕业	bìyè	graduation
遍	biàn	times
标准	biāozhǔn	standard
表格	biǎogé	form
表示	biǎoshì	express
表演	biǎoyǎn	perform
表扬	biǎoyáng	praise
饼干	bǐnggān	biscuits
并且	bìngqiě	also
博士	bóshì	doctor
不过	búguò	however
不得不	bùdébù	have to
不管	bùguǎn	no matter
不仅	bùjǐn	not only
部分	bùfen	part
擦	cā	wipe
猜	cāi	guess
材料	cáiliào	material science
参观	cānguān	visit
餐厅	cāntīng	restaurant
差不多	chàbuduō	almost
尝	cháng	taste
长城	chángchéng	the Great Wall
长江	chángjiāng	the Yangtze River
场	chǎng	site
超过	chāoguò	exceed
厕所	cèsuǒ	toilet
成功	chénggōng	success
成为	chéngwéi	become
诚实	chéngshí	honest
乘坐	chéngzuò	ride
吃惊	chījīng	be amazed
重新	chóngxīn	again
抽烟	chōuyān	smoking
出差	chūchāi	a business travel
出发	chūfā	set out
出生	chūshēng	birth
出现	chūxiàn	appear
厨房	chúfáng	kitchen
传真	chuánzhēn	fax
窗户	chuānghu	window
词语	cíyǔ	terms, words
从来	cónglái	always
粗心	cūxīn	careless
存	cún	deposit
错误	cuòwù	error
答案	dá'àn	answer
打招呼	dǎzhāohu	say hello
打扮	dǎban	dress up
打扰	dǎrǎo	disturb
打印	dǎyìn	print
打折	dǎzhé	discount
打针	dǎzhēn	to make an injection
大概	dàgài	probably
大使馆	dàshǐguǎn	embassy
大约	dàyuē	about
戴	dài	wear
大夫	dàifu	doctor
当	dāng	when
当时	dāngshí	at that time
刀	dāo	knife
导游	dǎoyóu	guide
倒	dào	inverted
到处	dàochù	everywhere
到底	dàodǐ	to the end
道歉	dàoqiàn	apologize
得意	déyì	proud
地点	dìdiǎn	location
得（助、动）	děi	have to
登机牌	dēngjīpái	boarding pass
等 （动）	děng	wait (verb)
低	dī	low
底	dǐ	bottom
地球	dìqiú	earth
地址	dìzhǐ	address
掉	diào	fall
调查	diàochá	investigation
丢	diū	lose
动作	dòngzuò	action
堵车	dǔchē	traffic jam
肚子	dùzi	belly
短信	duǎnxìn	short message
对于	duìyú	about
对话	duìhuà	dialogue
对面	duìmiàn	opposite side
而	ér	and
儿童	értóng	children
发生	fāshēng	happen
发展	fāzhǎn	development
法律	fǎlǜ	law
翻译	fānyì	translate
烦恼	fánnǎo	annoyance
反对	fǎnduì	opposition
方法	fāngfǎ	method
方面	fāngmiàn	aspect
方向	fāngxiàng	direction
房东	fángdōng	landlord
放弃	fàngqì	give up
放暑假	fàngshǔjià	summer vacation
放松	fàngsōng	relax
份	fèn	share (measure word)
丰富	fēngfù	rich
否则	fǒuzé	otherwise
符合	fúhé	accord with
富	fù	rich
付款	fùkuǎn	pay
父亲	fùqīn	father
复印	fùyìn	to copy
复杂	fùzá	complex
负责	fùzé	be responsible for
改变	gǎibiàn	change
干杯	gānbēi	cheers!
赶	gǎn	catch up with
敢	gǎn	dare
感动	gǎndòng	be moved
感觉	gǎnjué	feel
感情	gǎnqíng	feeling
感谢	gǎnxiè	thank
干	gān	dry
刚	gāng	just
高速公路	gāosùgōnglù	expressway
胳膊	gēbo	arm
各	gè	various
公里	gōnglǐ	kilometre
工资	gōngzī	wages
功夫	gōngfu	kungfu 
共同	gòngtóng	common
够	gòu	enough
购物	gòuwù	shopping
估计	gūjì	estimate
鼓励	gǔlì	encourage
顾客	gùkè	customer
故意	gùyì	deliberately
挂	guà	hang
关键	guānjiàn	key
观众	guānzhòng	audience
管理	guǎnlǐ	administration
光	guāng	light
广播	guǎngbō	radio broadcast
广告	guǎnggào	advertisement
逛	guàng	stroll
规定	guīdìng	regulations
国际	guójì	international
国籍	guójí	nationality
果汁	guǒzhī	fruit juice
过程	guòchéng	process
海洋	hǎiyáng	ocean
害羞	hàixiū	shy
寒假	hánjià	the winter vacation
汗	hàn	sweat
航班	hángbān	flight
好处	hǎochù	benefit
好像	hǎoxiàng	be like, seem
号码	hàomǎ	number
合格	hégé	qualified
合适	héshì	appropriate
盒子	hézi	box
厚	hòu	thick
后悔	hòuhuǐ	regret
护士	hùshi	nurse
互联网 	hùliánwǎng	Internet
互相	hùxiāng	each other
怀疑	huáiyí	doubt
回忆	huíyì	memory
活动	huódòng	activity
活泼	huópō	lively
