唉	āi	alas
爱心	àixīn	love
安慰	ānwèi	comfort
岸	àn	bank
熬夜	áoyè	stay up late
包含	bāohán	contain
宝贵	bǎoguì	valuable
保存	bǎocún	preservation
保留	bǎoliú	retain
报到	bàodào	register,check in
报告	bàogào	presentation
悲观	bēiguān	pessimism
背景	bèijǐng	background
被子	bèizi	quilt
本科	běnkē	undergraduate
本领	běnlǐng	ability
比例	bǐlì	proportion
必然	bìrán	inevitable
必要	bìyào	necessary
鞭炮	biānpào	firecracker
辩论	biànlùn	debate
标志	biāozhì	sign
表达	biǎodá	expression
表面	biǎomiàn	surface
表情	biǎoqíng	expression
表现	biǎoxiàn	performance
冰激凌	bīngjīlíng	ice cream
玻璃	bōli	glass
博物馆	bówùguǎn	museum
不断	búduàn	constantly
不见得	bújiàndé	not necessarily
不耐烦	búnàifán	impatient
补充	bǔchōng	supplement
不然	bùrán	otherwise
不足	bùzú	insufficient
部门	bùmén	department
财产	cáichǎn	property
踩	cǎi	step on
采取	cǎiqǔ	take, adopt
参考	cānkǎo	reference resources
操场	cāochǎng	playground
插	chā	insert
叉子	chāzi	fork
拆	chāi	remove
产生	chǎnshēng	produce
常识	chángshí	common sense
潮湿	cháoshī	damp
吵	chǎo	noisy
车库	chēkù	garage
彻底	chèdǐ	thorough
趁	chèn	while
称	chēng	call
称赞	chēngzàn	praise
承担	chéngdān	bear
承受	chéngshòu	bear
程序	chéngxù	program
成立	chénglì	establish
成人	chéngrén	adult
成语	chéngyǔ	idiom
诚恳	chéngkěn	sincere
持续	chíxù	continued
尺子	chǐzi	ruler
冲	chōng	punching
充分	chōngfèn	to the full
重复	chóngfù	repeat
宠物	chǒngwù	pet
抽象	chōuxiàng	abstract
丑	chǒu	ugly
出口	chūkǒu	exit
出示	chūshì	show
出席	chūxí	attend
除非	chúfēi	unless
除夕	chúxī	the New Year's Eve
处理	chǔlǐ	handle
传染	chuánrǎn	contagion
传统	chuántǒng	tradition
闯	chuǎng	rush; dash
吹	chuī	blow
此外	cǐwài	in addition
次要	cìyào	secondary
匆忙	cōngmáng	hastily
从而	cóng'ér	thus
从前	cóngqián	before
粗糙	cūcāo	rough
醋	cù	vinegar
促使	cùshǐ	urge
措施	cuòshī	measures
打工	dǎgōng	work
大厦	dàshà	large building
大象	dàxiàng	elephant
代表	dàibiǎo	representative
待遇	dàiyù	treatment
单调	dāndiào	monotonous
单位	dānwèi	company
担任	dānrèn	to serve as
耽误	dānwu	delay
淡	dàn	light
倒霉	dǎoméi	fall on evil days
道理	dàolǐ	reason
登记	dēngjì	register
等于	děngyú	be equal to
滴	dī	drop
敌人	dírén	enemy
递	dì	delivery
地毯	dìtǎn	carpet
地震	dìzhèn	earthquake
电池	diànchí	battery
顶	dǐng	top
冻	dòng	freeze
动画片	dònghuàpiàn	cartoon
逗	dòu	funny
独特	dútè	unique
度过	dùguò	spend
对比	duìbǐ	contrast
对待	duìdài	treat
对手	duìshǒu	opponent
吨	dūn	ton
顿	dùn	meal
多亏	duōkuī	thanks to
朵	duǒ	classifier of flower
发表	fābiǎo	publish
发达	fādá	to develop
发挥	fāhuī	develop
发票	fāpiào	invoice
发言	fāyán	give a speech
罚款	fákuǎn	forfeit; amerce; fine
法院	fǎyuàn	court
繁荣	fánróng	boom
反而	fǎn'ér	instead
反应	fǎnyìng	reaction
反正	fǎnzhèng	anyway
范围	fànwéi	range
方案	fāng'àn	programme
方式	fāngshì	mode
妨碍	fáng'ài	hinder
肥皂	féizào	soap
分布	fēnbù	distribution
分手	fēnshǒu	break up
风景	fēngjǐng	scenery
风险	fēngxiǎn	risk
讽刺	fěngcì	satire
否认	fǒurèn	deny
扶	fú	hold up
复制	fùzhì	copy
改进	gǎijìn	improvement
改正	gǎizhèng	correction
概括	gàikuò	generalization
感想	gǎnxiǎng	feel
赶快	gǎnkuài	hurry up
干活儿	gànhuór	work on a job
高级	gāojí	senior
告别	gàobié	farewell
隔壁	gébì	next door
个人	gèrén	personal
各自	gèzì	each
根本	gēnběn	at all
公开	gōngkāi	open
公平	gōngpíng	fair
公寓	gōngyù	apartment
工厂	gōngchǎng	factory
工具	gōngjù	tool
工业	gōngyè	industry
功能	gōngnéng	function
沟通	gōutōng	communicate
姑娘	gūniang	girl
古代	gǔdài	ancient
鼓掌	gǔzhǎng	applause
骨头	gǔtou	bone
乖	guāi	good behaved
怪不得	guàibude	no wonder
观察	guānchá	observation
观念	guānniàn	concept
冠军	guànjūn	champion
光滑	guānghuá	smooth
光明	guāngmíng	light
广大	guǎngdà	vast
规律	guīlǜ	law
规则	guīzé	rule
滚	gǔn	rolling
国庆节	guóqìngjié	National Day
果实	guǒshí	fruit
过敏	guòmǐn	allergy
海鲜	hǎixiān	seafood
豪华	háohuá	luxury
好奇	hàoqí	be curious
何必	hébì	why
合法	héfǎ	legitimate
合理	hélǐ	reasonable
合同	hétong	contract
合作	hézuò	cooperation
恨	hèn	hate
猴子	hóuzi	monkey
后背	hòubèi	back
忽视	hūshì	ignore
壶	hú	pot
胡说	húshuō	nonsense
糊涂	hútu	confused
花生	huāshēng	peanut
划	huá	rowing
话题	huàtí	topic of conversation
怀念	huáiniàn	miss
怀孕	huáiyùn	become pregnant
慌张	huāngzhāng	flurried
黄金	huángjīn	gold
灰	huī	ash
灰心	huīxīn	lose heart; be discouraged
