挨	ái	next to
癌症	áizhèng	cancer
爱不释手	àibúshìshǒu	so much that one cannot bear to part with it
爱戴	àidài	love and esteem
暧昧	àimèi	ambiguous
安宁	ānníng	peaceful; calm
安详	ānxiáng	serene; composed
安置	ānzhì	put; arrange for
暗示	ànshì	suggest secretly
案件	ànjiàn	law case; case
案例	ànlì	case
按摩	ànmó	massage
昂贵	ángguì	expensive
凹凸	āotū	concave-convex
熬	áo	boil
奥秘	àomì	secret
扒	bā	hold on to; dig up; push aside;
疤	bā	scar
巴不得	bābude	eagerly look forward to
巴结	bājié	stutter
拔苗助长	bámiáozhùzhǎng	spoil things by excessive enthusiasm
把关	bǎguān	hold the pass
把手	bǎshou	knob
霸道	bàdào	overbearing
罢工	bàgōng	strike
掰	bāi	break off with fingers and thumb
摆脱	bǎituō	cast off
拜访	bàifǎng	visit
拜年	bàinián	congratulate the new year
拜托	bàituō	request
败坏	bàihuài	corrupt
斑	bān	speckle
颁布	bānbù	promulgate; issue
颁发	bānfā	award; issue
版本	bǎnběn	edition
半途而废	bàntú'érfèi	give up halfway
伴侣	bànlǚ	partner; mate
伴随	bànsuí	go with
扮演	bànyǎn	play the role
绑架	bǎngjià	kidnap
榜样	bǎngyàng	example
磅	bàng	pound
包庇	bāobì	shield
包袱	bāofu	burden
包围	bāowéi	surround
包装	bāozhuāng	pack; put up; make up
饱和	bǎohé	saturated
饱经沧桑	bǎojīngcāngsāng	have seen much of the changes in human life
保管	bǎoguǎn	safekeeping
保密	bǎomì	secrecy
保姆	bǎomǔ	nurse; mammy
保守	bǎoshǒu	conservative
保卫	bǎowèi	defend
保养	bǎoyǎng	maintain
保障	bǎozhàng	guarantee
保重	bǎozhòng	take care of oneself
抱负	bàofù	ambition
报仇	bàochóu	revenge
报酬	bàochou	remuneration
报答	bàodá	reciprocate; pay back; repay
报复	bàofù	payback
报警	bàojǐng	call the police
报销	bàoxiāo	submit and expense account
爆发	bàofā	burst
爆炸	bàozhà	blast
曝光	bàoguāng	exposure
暴力	bàolì	violence
暴露	bàolù	expose
悲哀	bēi'āi	grief
悲惨	bēicǎn	miserable
卑鄙	bēibǐ	despicable
北极	běijí	arctic
被动	bèidòng	passive
被告	bèigào	defendant
背叛	bèipàn	sellout; betray
背诵	bèisòng	recite
备份	bèifèn	backups
备忘录	bèiwànglù	memorandum
贝壳	bèikè	shell; conch
奔波	bēnbō	rush about
奔驰	bēnchí	run quickly
本能	běnnéng	instinct
本钱	běnqián	capital
本人	běnrén	oneself
本身	běnshēn	itself
本事	běnshi	skill
笨拙	bènzhuō	clumsy
崩溃	bēngkuì	collapse breakdown
甭	béng	not
蹦	bèng	jump
迸发	bèngfā	burst
逼迫	bīpò	force; compel
鼻涕	bítì	nasal mucus
比方	bǐfāng	example
比喻	bǐyù	comparison; trope
比重	bǐzhòng	specific gravity; proportion
鄙视	bǐshì	despise
臂	bì	arm
弊病	bìbìng	ills
弊端	bìduān	malpractice
闭塞	bìsè	occlusion
鞭策	biāncè	urge on
编织	biānzhī	weave
边疆	biānjiāng	frontier
边界	biānjiè	boundary
边境	biānjìng	border; frontier
边缘	biānyuán	edge
扁	biǎn	flat
贬低	biǎndī	depreciate
贬义	biǎnyì	derogatory sense
遍布	biànbù	all over
便利	biànlì	facilitate
便条	biàntiáo	note
便于	biànyú	easy to
变故	biàngù	misfortune
变迁	biànqiān	changes
变质	biànzhì	deteriorate
辩护	biànhù	defend
辩解	biànjiě	explain
辩证	biànzhèng	dialectical
辨认	biànrèn	distinguish
辫子	biànzi	queue; plait
标本	biāoběn	specimen; demo
标记	biāojì	sign
标题	biāotí	title; heading
表决	biǎojué	vote
表态	biǎotài	clarify one's position
表彰	biǎozhāng	commend; cite
憋	biē	hold back
别墅	biéshù	villa
别致	biézhì	unique
别扭	bièniu	unnatural; awkward
濒临	bīnlín	on the verge of
冰雹	bīngbáo	hail
丙	bǐng	third of the ten Heavenly Stems
并非	bìngfēi	not so
并列	bìngliè	parallel
拨	bō	dial
播种	bōzhòng	sow
波浪	bōlàng	wave
波涛	bōtāo	waves
剥削	bōxuē	exploitation
博大精深	bódàjīngshēn	broad and profound
博览会	bólǎnhuì	exposition
搏斗	bódòu	struggle; fight
伯母	bómǔ	aunt
薄弱	bóruò	weak
不顾	búgù	disregard
不愧	búkuì	worthy
不料	búliào	unexpectedly
不像话	búxiànghuà	unreasonable
不屑一顾	búxièyígù	a contemptuous disregard
补偿	bǔcháng	compensate
补救	bǔjiù	remedy
补贴	bǔtiē	subsidy
哺乳	bǔrǔ	lactation
捕捉	bǔzhuō	catch
不得已	bùdéyǐ	have no alternative but to
不妨	bùfáng	might as well
不敢当	bùgǎndāng	I really don't deserve this
不禁	bùjīn	can not help but
不堪	bùkān	can't bear
不可思议	bùkěsīyì	it is beyond logic and above reason
不免	bùmiǎn	unavoidable
不时	bùshí	now and then
不惜	bùxī	not spare; not hesitate
不相上下	bùxiāngshàngxià	about the same; equally matched
不言而喻	bùyán'éryù	self-evident
不由得	bùyóude	cannot help
不择手段	bùzéshǒuduàn	use unscrupulous divisive tactics
不止	bùzhǐ	more than
布告	bùgào	notice
布局	bùjú	distribution; layout
布置	bùzhì	arrangement
步伐	bùfá	pace
部署	bùshǔ	deploy
部位	bùwèi	part; section
才干	cáigàn	talent
财富	cáifù	wealth
财务	cáiwù	financial affairs
财政	cáizhèng	finance
裁缝	cáifeng	tailor
裁判	cáipàn	referee
裁员	cáiyuán	layoffs
采购	cǎigòu	purchase
采集	cǎijí	gather; collect
采纳	cǎinà	accept
彩票	cǎipiào	lottery
参谋	cānmóu	staff officer
参照	cānzhào	refer to
残疾	cánjí	a disability
残酷	cánkù	cruel
残留	cánliú	residual
残忍	cánrěn	brutal
灿烂	cànlàn	splendid
舱	cāng	cabin
苍白	cāngbái	pale
仓促	cāngcù	hasty
仓库	cāngkù	warehouse
操劳	cāoláo	work hard
操练	cāoliàn	drill; practice
操纵	cāozòng	control
操作	cāozuò	operation
嘈杂	cáozá	noisy
草案	cǎo'àn	draft
草率	cǎoshuài	cursory; jerry
策划	cèhuà	plan; hatch; plot
策略	cèlüè	tactic; policy
测量	cèliáng	measure
侧面	cèmiàn	side; flank
层出不穷	céngchūbùqióng	emerge in endlessly
层次	céngcì	gradation; arrangement
插座	chāzuò	socket
差别	chābié	difference
查获	cháhuò	hunt down and seize; ferret out
岔	chà	turn off; fork
刹那	chànà	instant
诧异	chàyì	astonished
柴油	cháiyóu	diesel oil
搀	chān	mix; mingle
馋	chán	greedy
缠绕	chánrào	twine
产业	chǎnyè	industry
阐述	chǎnshù	expatiate; expound
颤抖	chàndǒu	tremble
昌盛	chāngshèng	prosperity
尝试	chángshì	attempt
偿还	chánghuán	repay
场合	chǎnghé	occasion
场面	chǎngmiàn	scene
场所	chǎngsuǒ	place
敞开	chǎngkāi	open wide
倡导	chàngdǎo	advocate
倡议	chàngyì	initiative
畅通	chàngtōng	unimpeded; unblocked
畅销	chàngxiāo	sell well
超越	chāoyuè	transcend
钞票	chāopiào	bank note
朝代	cháodài	dynasty
潮流	cháoliú	trend
嘲笑	cháoxiào	ridicule
巢穴	cháoxué	nest
撤退	chètuì	haul off
撤销	chèxiāo	repeal; retract
沉淀	chéndiàn	subside
沉闷	chénmèn	oppressive; withdrawn
沉思	chénsī	meditation
沉重	chénzhòng	heavy
沉着	chénzhuó	composed; cool headed
陈旧	chénjiù	obsolete
陈列	chénliè	display
陈述	chénshù	present; state; mention
衬托	chèntuō	set off
称心如意	chènxīnrúyì	as one wishes
称号	chēnghào	title
盛	chéng	fill
橙	chéng	orange
乘	chéng	ride
承办	chéngbàn	undertake
承包	chéngbāo	contract
承诺	chéngnuò	promise
城堡	chéngbǎo	castle
成本	chéngběn	cost
成交	chéngjiāo	deal
成天	chéngtiān	all day long
成效	chéngxiào	results, effects
成心	chéngxīn	on purpose
成员	chéngyuán	member
惩罚	chéngfá	punish
诚挚	chéngzhì	sincere; cordial; earnest
澄清	chéngqīng	clarify
呈现	chéngxiàn	present
秤	chèng	balance
吃苦	chīkǔ	hardship
吃力	chīlì	sweaty
迟钝	chídùn	bluntness
迟缓	chíhuǎn	tardy; sluggish
迟疑	chíyí	hesitation
持久	chíjiǔ	lasting
赤道	chìdào	equator
赤字	chìzì	deficit; red ink
冲动	chōngdòng	impulse
冲击	chōngjī	to attack
冲突	chōngtū	conflict
充当	chōngdāng	act as; serve as
充沛	chōngpèi	abundant
充实	chōngshí	enrich
充足	chōngzú	adequate
崇拜	chóngbài	worship
崇高	chónggāo	lofty
崇敬	chóngjìng	respect; revere
重叠	chóngdié	overlap
筹备	chóubèi	arrange; prepare
稠密	chóumì	thick; dense
丑恶	chǒu'è	ugly; filthy
出路	chūlù	way out
出卖	chūmài	sell
出身	chūshēn	birth
出神	chūshén	trance
出息	chūxi	good
初步	chūbù	preliminary
