爱	ài	love
爱好	ài hào	hobby
八	bā	eight
爸爸｜爸	bàba ｜ bà	dad
吧	ba	(modal particle indicating suggestion or surmise)
白（形）	bái 	white
白天	bái tiān	day
百	bǎi	hundred
班	bān	class
半	bàn	half
半年	bàn nián	half a year
半天	bàn tiān	half day
帮	bāng	help
帮忙	bāng máng	help
包	bāo	package
包子	bāo zi	bun
杯	bēi	cup
杯子	bēi zi	cup
北	běi	north
北边	běi biān	north side
北京	běi jīng	Beijing
本（量）	běn 	(measure word for books or volumes)
本子	běn zi	book
比	bǐ	particle used for comparison
别（副）	bié	don't
别的	bié de	other
别人	bié·rén	other people
病	bìng	disease
病人	bìng rén	patient
不大	bú dà	not big
不对	bú duì	wrong
不客气	bú kè qì	you're welcome
不用	bú yòng	no need to
不	bù	no
菜	cài	dish
茶	chá	tea
差	chà	differ from; bad; short of 
常	cháng	often
常常	cháng cháng	often
唱	chàng	sing
唱歌	chàng gē	sing
车	chē	car
车票	chē piào	ticket
车上	chē shàng	in the car
车站	chē zhàn	station
吃	chī	eat
吃饭	chī fàn	have meal
出	chū	out
出来	chū lái	come
出去	chū qù	go out
穿	chuān	wear
床	chuáng	bed
次（量）	cì 	(measure word for times, frequency)
从	cóng	from
错	cuò	wrong
打（动）	dǎ 	hit, take
打车	dǎ chē	take a taxi
打电话	dǎ diàn huà	make a phonecall
打开	dǎ kāi	turn on
打球	dǎ qiú	play ball
大	dà	large, big
大学	dà xué	university
大学生	dà xué shēng	university student
到	dào	reach
得到	dé dào	get
地	de	-ly
的	de	of; ~'s (possessive particle)
等（动）	děng	wait
地	dì	ground
地点	dìdiǎn	location
地方	dìfang	local
地上	dì shàng	on the ground
地图	dìtú	map
弟弟｜弟	dì di ｜ dì	younger brother
第（第二）	dì （ dì èr ）	auxiliary word for ordinal numbers (second )
点	diǎn	spot
电	diàn	electricity
电话	diàn huà	phone
电脑	diànnǎo	computer
电视	diànshì	television
电视机	diàn shì jī	television
电影	diànyǐng	film
电影院	diàn yǐng yuàn	cinema; movie theater
东	dōng	east
东边	dōng biān	east side
东西	dōngxi	thing
动	dòng	move
动作	dòngzuò	action
都	dōu	all
读	dú	read
读书	dú shū	reading; study
对（形）	duì	right
对不起	duìbuqǐ	i'm sorry
多（形、代）	duō	many; much; more
多少	duōshao	how much
饿	è	hungry
儿子	érzi	son
二	èr	two
饭	fàn	rice; meal
饭店	fàndiàn	restaurant
房间	fángjiān	room
房子	fáng zi	house; building
放	fàng	discharge
放假	fàng jià	holiday; have a holiday
放学	fàng xué	off school
飞	fēi	fly
飞机	fēijī	aircraft
非常	fēicháng	very
分（名、量）	fēn	minute; point; part; (measure word)
风	fēng	wind
干	gān	dry
干净	gānjìng	clean
干	gàn	do
干什么	gàn shén me	what to do
高	gāo	high
高兴	gāoxìng	happy
告诉	gàosu	tell
哥哥｜哥	gē ge ｜ gē	elder brother
歌	gē	song
个	gè	individual
给	gěi	give
跟	gēn	with
工人	gōngrén	worker
工作	gōngzuò	work
关（动）	guān	shut; close; turn off
关上	guān shàng	close;shut to; turn off
贵	guì	noble
国	guó	country; state; nation
国家	guójiā	country
国外	guó wài	foreign; oversea; abroad
过	guò	pass
还	hái	also; still; yet
还是	háishi	still
还有	hái yǒu	also; in addition; besides
孩子	háizi	children
汉语	hànyǔ	Chinese
汉字	hàn zì	Chinese character
好（形）	hǎo	good
好吃	hǎochī	yummy
好看	hǎo kàn	good looking
好听	hǎo tīng	pleasant to hear
好玩儿	hǎo wánr	fun; interesting
号	hào	number/date
喝	hē	drink
和	hé	and
很	hěn	very
后	hòu	back; behind; after; later
后边	hòu biān	behind; back
后天	hòu tiān	day after tomorrow
花（名）	huā	flower
话	huà	word; words
坏	huài	bad
还	huán	return; pay back
回（动）	huí	go back; return
回答	huídá	answer
回到	huí dào	back to
回家	huí jiā	go home; return home
回来	huí lái	come back; return
回去	huí qù	go back
会（动）	huì	can; be able to
火车	huǒ chē	train
机场	jīchǎng	airport
机票	jī piào	air ticket
鸡蛋	jīdàn	egg
几	jǐ	several
记	jì	remember
记得	jìdé	remember
记住	jì zhù	remember; keep in mind
家	jiā	home
家里	jiā lǐ	in the home
家人	jiā rén	family
间	jiān	between; measure word for rooms
见	jiàn	see; meet
见面	jiànmiàn	meet
教	jiāo	teach
叫（动）	jiào	call; be called
教学楼	jiào xué lóu	teaching building
姐姐｜姐	jiě jie ｜ jiě	elder sister
介绍	jièshào	introduce
今年	jīn nián	this year
今天	jīntiān	today
进	jìn	enter
进来	jìn lái	come in
进去	jìn qù	go in
九	jiǔ	nine
就	jiù	as soon as; right away; then
觉得	juéde	think
开	kāi	open
开车	kāi chē	drive; drive a car
开会	kāi huì	have a meeting
开玩笑	kāiwánxiào	make fun of
看	kàn	see
看病	kàn bìng	see a doctor
看到	kàn dào	see
看见	kànjiàn	seeing
考	kǎo	test; examine
考试	kǎoshì	examination
渴	kě	thirsty
课	kè	course
课本	kè běn	textbook
课文	kè wén	text
口	kǒu	mouth
块	kuài	block
快	kuài	fast
来	lái	come
来到	lái dào	come; arrive
老（形）	lǎo	old; aged
老人	lǎo rén	old people; the aged
老师	lǎoshī	teacher
了	le	past tense marker
累	lèi	tired
冷	lěng	cold
里	lǐ	in
里边	lǐ biān	inside
两（数）	liǎng	two
零	líng	zero
六	liù	six
楼	lóu	floor
楼上	lóu shàng	upstairs
楼下	lóu xià	downstairs
路	lù	road
路口	lù kǒu	intersection; crossing
路上	lù shàng	on the road
妈妈｜妈	mā ma ｜ mā	mom; mother
马路	mǎ lù	road; street
马上	mǎshàng	right off
吗	ma	(question particle for "yes-no" questions)
买	mǎi	buy
慢	màn	slow
忙	máng	busy
毛（量）	máo	a fractional unit of money in China (measure word)
没	méi	no
没关系	méiguānxi	no problem
没什么	méi shén me	it's nothing
没事儿	méi shìr	it's okay
没有	méi yǒu	have not; no
妹妹｜妹	mèi mei ｜ mèi	younger sister
门	mén	door
门口	mén kǒu	doorway
门票	mén piào	tickets
们（朋友们）	men （ péng yǒu men ）	plural marker for pronouns and a few animate nouns (friends)
米饭	mǐfàn	steamed rice
面包	miànbāo	bread
面条儿	miàn tiáor	noodles
名字	míngzi	name
明白	míngbai	clear
明年	míng nián	next year
明天	míngtiān	tomorrow
拿	ná	take
哪	nǎ	which
哪里	nǎ lǐ	where
哪儿	nǎr	where
哪些	nǎ xiē	which
那（代）	nà	that
那边	nà biān	there
那里	nà lǐ	there
那儿	nàr	there
那些	nà xiē	those
奶	nǎi	milk
奶奶	nǎinai	grandma
男	nán	man
男孩儿	nán háir	boy
男朋友	nán péng yǒu	boyfriend
男人	nán ren	man
男生	nán shēng	boy
南	nán	south
南边	nán biān	south; south side
难	nán	hard, difficult
呢	ne	particle indicating that a previously asked question is to be applied to the preceding word
能	néng	can
你	nǐ	you
你们	nǐ men	you
年	nián	year
您	nín	you
牛奶	niúnǎi	milk
女	nǚ	woman
女儿	nǚ'ér	daughter
女孩儿	nǚ háir	girl
女朋友	nǚ péng yǒu	girlfriend
女人	nǚ ren	woman
女生	nǚ shēng	girl
旁边	pángbiān	side
跑	pǎo	run
朋友	péngyou	friend
票	piào	ticket
七	qī	seven
起	qǐ	get up; start; rise
起床	qǐchuáng	get up
起来	qǐlái	get up
汽车	qì chē	car
前	qián	front
前边	qián biān	in front
前天	qián tiān	the day before yesterday
钱	qián	money
钱包	qián bāo	wallet
请	qǐng	please
请假	qǐngjià	ask for leave
请进	qǐng jìn	please come in
请问	qǐng wèn	excuse me
请坐	qǐng zuò	please have a seat
球	qiú	ball
去	qù	go
去年	qùnián	last year
热	rè	heat
人	rén	people
认识	rènshi	know
认真	rènzhēn	earnest
日	rì	date
日期	rìqī	date
肉	ròu	meat
三	sān	three
山	shān	mountain
商场	shāng chǎng	mall; shopping mall
商店	shāngdiàn	shop
上	shàng	upper
上班	shàngbān	go to work
上边	shàng biān	above; on
上车	shàng chē	get on
上次	shàng cì	last time
上课	shàng kè	attend class; have a class
