阿姨	āyí	aunt
啊	a	ah
矮	ǎi	short
矮小	ǎi xiǎo	short and small; low and small; undersized
爱国	ài guó	love one's country; be patriotic
爱护	àihù	care
安	ān	quiet; safe; secure; install; fix; fit
安置	ānzhì	put; arrange for
按时	ànshí	on time
暗	àn	dark
暗示	ànshì	suggest secretly
巴士	bā shì	bus
百货	bǎi huò	department store; general merchandise
摆	bǎi	pendulum
摆动	bǎi dòng	swing; sway; oscillate;vibrate
摆脱	bǎituō	cast off
败	bài	defeat; beat; fail; lose
办事	bàn shì	handle affairs; work
包裹	bāoguǒ	package
包含	bāohán	contain
包括	bāokuò	include
薄	báo	thin
宝	bǎo	treasure; precious; treasured
宝宝	bǎo bao	baby; darling
宝贝	bǎobèi	baby
宝贵	bǎoguì	valuable
宝石	bǎo shí	gemstone; gem; cameo; precious stone
保密	bǎomì	secrecy
保守	bǎoshǒu	conservative
抱	bào	hold, hug
背景	bèijǐng	background
倍	bèi	times
被迫	bèi pò	be compelled; be forced; be constrained
本科	běnkē	undergraduate
笨	bèn	stupid
比分	bǐ fēn	score
毕业	bìyè	graduation
毕业生	bì yè shēng	graduate
避	bì	avoid; evade; dodge; keep away; repel
避免	bìmiǎn	avoid
编	biān	invent; make up; plait; edit; compile; compose; write
辩论	biànlùn	debate
标志	biāozhì	sign
表情	biǎoqíng	expression
表扬	biǎoyáng	praise
别（动）	bié	do not; leave; separate; pin
冰	bīng	ice
冰箱	bīngxiāng	refrigerator
冰雪	bīng xuě	ice and snow
兵	bīng	arms; soldier; force; weapon; military
并（动）	bìng	combine; merge; incorporate
不要紧	búyàojǐn	never mind
不在乎	bú zài hū	not mind; not care
不管	bùguǎn	no matter
不然	bùrán	otherwise
布置	bùzhì	arrangement
步行	bù xíng	go on foot; walk
擦	cā	wipe
才（名）	cái	ability; talent; gift; endowment
材料	cáiliào	materials
财产	cáichǎn	property
财富	cáifù	wealth
采访	cǎifǎng	interview
参考	cānkǎo	reference resources
参与	cānyù	participate in
操场	cāochǎng	playground
操作	cāozuò	operation
测	cè	survey; fathom; measure; conjecture; infer
测量	cèliáng	measure
测试	cè shì	test; examination
曾	céng	once; already; at some time in the past
茶叶	chá yè	tea; tea-leaves
产品	chǎnpǐn	product
长途	chángtú	long-distance
常识	chángshí	common sense
唱片	chàng piàn	record; disc; phonogram
