安慰	ānwèi	comfort
岸	àn	bank
岸上	àn shàng	ashore; shore; bank
按摩	ànmó	massage
拔	bá	pluck; pull out; draw; select; choose; extract
白酒	bái jiǔ	Chinese baijiu; liquor and spirits
拜访	bàifǎng	visit
版	bǎn	printing plate; edition; version
扮演	bànyǎn	play the role
棒	bàng	stick; excellent
包围	bāowéi	surround
包装	bāozhuāng	pack; put up; make up
保卫	bǎowèi	defend
保养	bǎoyǎng	maintain
报答	bàodá	reciprocate; pay back; repay
报警	bàojǐng	call the police
抱怨	bàoyuàn	complain
背包	bēi bāo	backpack; knapsack; rucksack; infantry pack
悲剧	bēi jù	tragedy
悲伤	bēi shāng	sad; sorrowful
北极	běijí	arctic
被动	bèidòng	passive
辈	bèi	generation; lifetime
本人	běnrén	oneself
鼻子	bízi	nose
比方	bǐfāng	example
比重	bǐzhòng	specific gravity; proportion
彼此	bǐcǐ	each other
必	bì	must; certainly; necessarily
必需	bì xū	essential; indispensable
毕竟	bìjìng	after all
闭幕	bì mù	close; conclude; lower the curtain
闭幕式	bì mù shì	closing ceremony
边境	biānjìng	border; frontier
编辑	biānjí	edit
编辑	biānji	editor
变动	biàn dòng	change; alteration; variation
便利	biànlì	facilitate
便条	biàntiáo	note
便于	biànyú	easy to
宾馆	bīnguǎn	hotel
饼	bǐng	cake; cookie; pastry; round flat cake
饼干	bǐnggān	biscuits
病毒	bìngdú	virus
玻璃	bōli	glass
博客	bó kè	blog
博览会	bólǎnhuì	exposition
博士	bóshì	doctor
博物馆	bówùguǎn	museum
薄弱	bóruò	weak
不顾	búgù	disregard
不利	bú lì	unfavourable; disadvantageous; harmful; detrimental
不耐烦	búnàifán	impatient
不幸	bú xìng	misfortune; unfortunat; unfortunately
不易	bú yì	not easy; difficult; tough
补偿	bǔcháng	compensate
补贴	bǔtiē	subsidy
不曾	bù céng	never
不得了	bùdéliǎo	very
不敢当	bùgǎndāng	I really don't deserve this
不良	bù liáng	bad; harmful; unhealthy
不免	bùmiǎn	unavoidable
不能不	bù néng bù	have to; cannot but
不时	bùshí	now and then
不停	bù tíng	without stop; non-stop
不许	bù xǔ	not allow; must not; can't
不止	bùzhǐ	more than
不足	bùzú	insufficient
部位	bùwèi	part; section
猜	cāi	guess
猜测	cāi cè	guess; conjecture; surmise
裁判	cáipàn	referee
采购	cǎigòu	purchase
彩票	cǎipiào	lottery
餐馆	cān guǎn	restaurant
餐厅	cāntīng	restaurant
餐饮	cān yǐn	catering; repast
草原	cǎo yuán	grasslands; prairie
册	cè	book (measure word)
层次	céngcì	gradation; arrangement
叉	chā	fork; cross
叉子	chāzi	fork
差别	chābié	difference
差距	chājù	disparity; distance
插	chā	insert
查询	chá xún	inquire; demand
差（一）点儿	chā（yì）diǎnr	almost; nearly
拆	chāi	remove
拆除	chāi chú	tear down; demolish; dismantle; remove
产业	chǎnyè	industry
长度	cháng dù	length; extent
长寿	cháng shòu	long life; longevity
肠	cháng	intestine; bowel; intestinal
尝	cháng	taste
尝试	chángshì	attempt
厂长	chǎng zhǎng	factory director; plant manager
场面	chǎngmiàn	scene
倡导	chàngdǎo	advocate
超越	chāoyuè	transcend
车主	chē zhǔ	car owner
称²（动）	chēng	call; say; name; commend; weigh
称号	chēnghào	title
成本	chéngběn	cost
成交	chéngjiāo	deal
成效	chéngxiào	results, effects
成语	chéngyǔ	idiom
承办	chéngbàn	undertake
城里	chéng lǐ	inside the city; in town
乘	chéng	ride
乘车	chéng chē	riding; ride
乘客	chéng kè	passenger
乘坐	chéngzuò	ride
吃力	chīlì	sweaty
